"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
64942,12/31/2023 0:00:00,19170,0,0,703568,0,1,0,748517,0,0,185629,0,0,185629,0,0,0,0,0,0,0,0,0,0,0,0,1990000,7200000,3426000,745000,0,13361000,0,0,0,229300,0,0,0,229300,0,0,0,0,0,84310636,0,0,0,0,0,0,0,0,01/01/2023,0,94331724,0,0,0,0,0,0,0,0,0,0,0,691488,0,60927,0,0,0,505,15881335,0,0,0
64943,12/31/2023 0:00:00,19171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2722181,0,0,0,0,0,0,0,0,,0,3512448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64948,12/31/2023 0:00:00,19176,0,0,208813,0,1,0,51831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14418131,0,0,0,0,0,0,0,0,07/01/2023,0,17083958,0,0,0,0,0,0,0,0,0,0,0,32032,0,0,0,0,0,0,0,0,0,0
64967,12/31/2023 0:00:00,19195,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4331979,0,0,0,0,0,0,0,0,,0,5194580,0,0,0,0,0,0,0,0,0,0,0,2004,0,0,0,0,0,0,0,0,0,0
64970,12/31/2023 0:00:00,19198,0,1069608,2099290,742962,1,0,6197785,0,0,0,0,0,0,0,0,0,0,0,0,23324105,28926145,28099054,12659868,0,93009171,0,0,0,0,0,0,0,-7087504,0,6586411,0,0,47123,6633534,0,0,0,0,47123,377657026,0,0,0,0,0,0,0,0,10/01/2023,0,417035586,0,0,0,0,0,0,0,0,0,0,0,2878515,0,3,364050,0,0,0,0,0,0,0
64986,12/31/2023 0:00:00,19214,0,0,267945,0,1,0,52085,0,0,0,139997,0,139997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22256,0,0,0,22256,0,0,0,0,0,25051312,0,0,0,0,0,0,0,0,01/01/2023,0,28902435,0,0,0,0,0,0,0,0,0,0,0,30057,0,23185,0,0,0,0,0,0,0,0
64991,12/31/2023 0:00:00,19219,0,0,185717,0,1,0,70360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500,0,0,0,22500,0,0,0,0,0,10362836,0,0,0,0,0,0,0,0,03/01/2023,63500,12197991,0,0,0,0,0,0,0,0,0,0,0,94658,0,0,0,0,0,0,0,0,0,0
64999,12/31/2023 0:00:00,19227,0,0,83079,0,1,0,31671,0,0,0,0,0,0,0,0,0,0,0,0,743560,1557707,230128,1880765,360572,4772732,0,0,0,0,0,0,0,-788268,0,7021,0,0,0,7021,0,0,0,0,0,11641837,0,0,0,0,0,0,0,0,01/01/2023,0,11939728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65003,12/31/2023 0:00:00,19231,0,0,811194,0,1,0,796024,2665731,0,0,0,0,2665731,0,0,0,0,0,0,4307107,11668802,6532907,1660588,0,24169405,0,0,0,0,0,0,0,-1685838,0,76981,0,0,0,76981,0,0,0,0,0,107568880,0,0,0,0,0,0,0,0,11/01/2023,131921,116596921,0,0,0,0,0,0,0,0,0,0,0,606314,0,145810,0,0,0,0,0,0,0,0
65013,12/31/2023 0:00:00,19241,0,0,1555407,0,1,0,229090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,5250000,2250000,0,255,7750255,0,0,0,8800,0,0,0,8800,0,0,0,0,0,84111633,0,0,0,0,0,0,0,0,01/01/2023,93194,95696298,0,0,0,0,0,0,0,0,0,0,0,166355,0,0,-5436,0,0,0,0,0,0,0
65039,12/31/2023 0:00:00,19267,0,418164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3943399,0,0,0,0,0,0,0,0,,0,5093395,0,0,0,0,0,0,0,0,0,0,0,19213,0,0,0,0,0,0,0,0,0,0
65040,12/31/2023 0:00:00,19268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449000,0,250000,100000,0,799000,0,0,0,0,0,0,0,0,0,0,0,0,0,2589380,0,0,0,0,0,0,0,0,,0,4567202,0,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0
65046,12/31/2023 0:00:00,19274,0,0,212507,0,1,0,80335,0,0,0,0,0,0,0,0,0,0,0,0,2000000,718350,1168155,0,0,3886505,0,0,0,0,0,0,0,-111344,0,61726,0,0,0,61726,0,0,0,0,0,26563354,0,0,0,0,0,0,0,0,01/01/2023,16068,28984951,0,0,0,0,0,0,0,0,0,0,0,108256,0,0,0,0,0,0,0,0,0,0
65059,12/31/2023 0:00:00,19287,0,0,480380,0,1,0,219475,0,0,0,0,0,0,0,0,0,0,0,0,2837629,2236805,893254,0,0,5967689,0,0,0,0,0,0,0,-183663,0,133270,0,0,0,133270,0,0,0,0,0,76834542,0,0,0,0,0,0,0,0,03/01/2023,69631,87697528,0,0,0,0,0,0,0,0,0,0,0,48278,0,0,0,5,572546,0,0,0,0,0
65062,12/31/2023 0:00:00,19290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237232,0,0,0,0,0,0,0,0,,0,347046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65063,12/31/2023 0:00:00,19291,0,7139241,917973,693329,1,0,760702,0,0,0,0,0,0,0,0,0,0,0,0,3935751,3760098,2939432,0,0,10635281,1010015,2066087,2308916,4719322,0,10104340,0,-465905,0,125206,0,0,1697,126903,0,0,0,0,0,207444417,0,0,0,0,0,0,0,0,10/01/2023,195028,227281994,0,0,0,0,0,0,0,0,0,0,0,2417127,0,0,0,0,0,0,0,0,0,0
65071,12/31/2023 0:00:00,19299,0,0,175734,1087,1,0,98109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7960000,4587000,0,0,0,12547000,0,0,0,107719,0,0,0,107719,0,0,0,0,0,20084632,0,0,0,0,0,0,0,0,01/01/2023,21664,22821558,0,0,0,0,0,0,0,0,0,0,0,113350,0,0,0,0,0,0,0,0,0,0
65078,12/31/2023 0:00:00,19306,0,1796806,9894338,0,1,0,5640495,186448,0,0,2365703,4168825,6720976,0,0,0,0,0,0,147490,1215593,1370581,1737468,645682,5116814,1000000,294530,3049175,520948,0,4864653,0,-390821,0,3303651,0,0,9754,3313405,0,0,0,0,9754,714673238,0,0,0,0,0,0,0,0,01/01/2023,521616,806048943,0,0,0,0,0,0,0,0,0,0,0,9718238,0,69405,-132,218,2881231,0,0,0,0,0
65082,12/31/2023 0:00:00,19310,0,6141782,1341046,476933,1,0,1879596,0,0,0,0,0,0,0,0,0,0,0,0,9145989,12350266,3852974,9672679,537352,35559260,0,0,0,0,0,0,0,-3265389,0,643596,0,0,3082,646678,0,0,0,0,47754,189567727,0,0,0,0,0,0,0,0,01/01/2023,804818,209088651,0,0,0,0,0,0,0,0,0,0,0,1163194,0,0,0,3,644974,0,0,0,0,0
65085,12/31/2023 0:00:00,19313,0,0,124294,0,1,0,9687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9687,0,0,0,9687,0,0,0,0,0,9545232,0,0,0,0,0,0,0,0,04/01/2023,0,10460340,0,0,0,0,0,0,0,0,0,0,0,4298,0,0,0,0,0,0,0,0,0,0
65088,12/31/2023 0:00:00,19316,0,0,3364143,1849720,1,0,1461503,0,0,0,0,0,0,0,0,0,0,0,0,21975778,45613290,4651975,1983494,0,74224537,0,0,0,0,0,0,0,-3339917,0,407537,0,0,0,407537,0,0,0,0,0,392117492,0,0,0,0,0,0,0,0,07/01/2023,150817,425135015,0,0,0,0,0,0,0,0,0,0,0,2720051,0,0,0,0,0,2,1575000,0,0,0
65090,12/31/2023 0:00:00,19318,0,0,92352,0,1,0,73151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9555159,0,0,0,0,0,0,0,0,09/01/2023,11807,12879317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65091,12/31/2023 0:00:00,19319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553665,0,0,0,0,0,0,0,0,,0,621912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65111,12/31/2023 0:00:00,19339,0,0,24109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5033026,0,0,0,0,0,0,0,0,,0,5480692,0,0,0,0,0,0,0,0,0,0,0,21255,0,0,0,0,0,0,0,0,0,0
65136,12/31/2023 0:00:00,19364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559019,0,0,0,0,0,0,0,0,,0,664305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65150,12/31/2023 0:00:00,19378,0,0,339774,458060,1,0,470791,0,0,0,843715,0,843715,0,0,0,0,0,0,0,0,0,75776,0,75776,1495000,2241000,747000,0,0,4483000,0,-3750,0,236000,0,0,0,236000,0,0,0,0,0,83228444,0,0,0,0,0,0,0,0,01/01/2023,0,98077930,0,0,0,0,0,0,0,0,0,0,0,772583,0,57223,0,0,0,0,0,0,0,0
65155,12/31/2023 0:00:00,19383,0,0,8323,0,1,0,11759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6529,0,0,0,6529,0,0,0,0,0,10504987,0,0,0,0,0,0,0,0,01/01/2023,0,12524164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65168,12/31/2023 0:00:00,19396,0,0,876139,0,1,0,821953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706020,0,0,0,706020,0,0,0,0,0,31882740,0,0,0,1,725,725,0,0,Fiscal Year 2022,0,34497453,0,0,0,0,0,0,0,0,0,0,0,181009,0,0,0,0,0,0,0,0,0,0
65186,12/31/2023 0:00:00,19414,0,0,426252,0,1,0,65334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29362,0,0,0,29362,0,0,0,0,0,22495901,0,0,0,0,0,0,0,0,01/01/2023,0,25307308,0,0,0,0,0,0,0,0,0,0,0,55536,0,0,0,0,0,0,0,0,0,0
65193,12/31/2023 0:00:00,19421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2591354,0,0,0,0,0,0,0,0,,0,2889662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65205,12/31/2023 0:00:00,19433,0,0,147689,0,1,0,35046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000,0,0,0,23000,0,0,0,0,0,29634036,0,0,0,0,0,0,0,0,01/01/2023,0,33184574,0,0,0,0,0,0,0,0,0,0,0,56186,0,0,0,0,0,0,0,0,0,0
65208,12/31/2023 0:00:00,19436,0,0,1250561,0,1,0,1451307,0,0,0,0,0,0,0,0,0,0,0,0,4481035,9508010,11352262,8090624,0,33431931,0,0,0,0,0,0,0,-3127589,0,1247372,0,0,0,1247372,0,0,0,0,0,128949818,0,0,0,0,0,0,0,0,01/01/2023,298873,148740022,0,0,0,0,0,0,0,0,0,0,0,2772830,0,0,-237076,0,0,0,0,0,0,0
65211,12/31/2023 0:00:00,19439,0,0,36630,0,1,0,37986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0,3000,0,0,0,0,0,10279482,0,0,0,0,0,0,0,0,01/01/2023,0,12931899,0,0,0,0,0,0,0,0,0,0,0,17009,0,0,0,0,0,0,0,0,0,0
65231,12/31/2023 0:00:00,19459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197971,0,0,0,0,0,0,0,0,,0,259493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65238,12/31/2023 0:00:00,19466,0,0,1553841,0,1,0,275316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2739000,7381000,0,0,0,10120000,0,0,0,170085,0,0,0,170085,0,0,0,0,0,133631849,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,151655245,0,0,0,0,0,0,0,0,0,0,0,385205,0,0,28,0,0,0,0,0,0,0
65239,12/31/2023 0:00:00,19467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,4197845,0,0,0,0,0,0,0,0,,0,4783195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65242,12/31/2023 0:00:00,19470,0,0,53803,0,1,0,71375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7442137,0,0,0,0,0,0,0,0,01/01/2023,0,9270924,0,0,0,0,0,0,0,0,0,0,0,38201,0,0,0,0,0,0,0,0,0,0
65243,12/31/2023 0:00:00,19471,0,0,2010,0,1,0,59332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27725967,0,0,0,0,0,0,0,0,03/01/2023,0,31073018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
