"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_AS0007","ACCT_AS0008","ACCT_AS0009","ACCT_AS0013","ACCT_AS0016","ACCT_AS0017","ACCT_AS0022","ACCT_AS0023","ACCT_AS0024","ACCT_AS0025","ACCT_AS0032","ACCT_AS0036","ACCT_CM0099","ACCT_CH0007","ACCT_CH0008","ACCT_CH0015","ACCT_CH0016","ACCT_CH0017","ACCT_CH0018","ACCT_CH0019","ACCT_CH0020","ACCT_CH0021","ACCT_CH0022","ACCT_CH0023","ACCT_CH0024","ACCT_CH0025","ACCT_CH0026","ACCT_CH0027","ACCT_CH0028","ACCT_CH0029","ACCT_CH0030","ACCT_CH0031","ACCT_CH0032","ACCT_CH0033","ACCT_CH0034","ACCT_CH0035","ACCT_CH0036","ACCT_CH0037","ACCT_CH0038","ACCT_CH0039","ACCT_CH0040","ACCT_CH0047","ACCT_CH0048","ACCT_DL0002","ACCT_DL0009","ACCT_DL0016","ACCT_DL0022","ACCT_DL0023","ACCT_DL0024","ACCT_DL0025","ACCT_DL0026","ACCT_DL0027","ACCT_DL0028","ACCT_DL0030","ACCT_DL0037","ACCT_DL0044","ACCT_DL0050","ACCT_DL0051","ACCT_DL0052","ACCT_DL0053","ACCT_DL0054","ACCT_DL0055","ACCT_DL0056","ACCT_DL0057","ACCT_DL0058","ACCT_DL0059","ACCT_DL0060","ACCT_DL0061","ACCT_DL0062","ACCT_DL0063","ACCT_DL0064","ACCT_DL0065","ACCT_DL0066","ACCT_DL0067","ACCT_DL0068","ACCT_DL0069","ACCT_DL0070","ACCT_DL0071","ACCT_DL0072","ACCT_DL0073","ACCT_DL0074","ACCT_DL0075","ACCT_DL0076","ACCT_DL0077","ACCT_DL0078","ACCT_DL0079","ACCT_DL0080","ACCT_DL0081","ACCT_DL0082","ACCT_DL0083","ACCT_DL0084","ACCT_DL0085","ACCT_DL0086","ACCT_DL0087","ACCT_DL0088","ACCT_DL0089","ACCT_DL0090","ACCT_DL0091","ACCT_DL0092","ACCT_DL0093","ACCT_DL0094","ACCT_DL0095","ACCT_DL0096","ACCT_DL0097","ACCT_DL0098","ACCT_DL0099","ACCT_DL0100","ACCT_DL0101","ACCT_DL0102","ACCT_DL0103","ACCT_DL0104","ACCT_DL0105","ACCT_DL0106","ACCT_DL0107","ACCT_DL0108","ACCT_DL0109","ACCT_DL0110","ACCT_DL0111","ACCT_DL0112","ACCT_DL0113","ACCT_DL0114","ACCT_DL0115","ACCT_DL0116","ACCT_DL0117","ACCT_DL0118","ACCT_DL0119","ACCT_DL0120","ACCT_DL0122","ACCT_DL0123","ACCT_DL0124","ACCT_DL0125","ACCT_DL0126","ACCT_DL0127","ACCT_DL0128","ACCT_DL0129","ACCT_DL0130","ACCT_DL0131","ACCT_DL0132","ACCT_DL0133","ACCT_DL0134","ACCT_DL0135","ACCT_DL0136","ACCT_DL0137","ACCT_DL0138","ACCT_DL0139","ACCT_DL0140","ACCT_DL0141","ACCT_DL0142","ACCT_DL0144","ACCT_DL0145","ACCT_DL0146","ACCT_DL0147","ACCT_DT0001","ACCT_DT0002","ACCT_DT0003","ACCT_DT0004","ACCT_DT0005","ACCT_DT0006","ACCT_DT0007","ACCT_DT0008","ACCT_DT0009","ACCT_DT0010","ACCT_DT0011","ACCT_DT0012","ACCT_DT0013","ACCT_DT0014","ACCT_DT0015","ACCT_DT0016","ACCT_IN0001","ACCT_IN0002","ACCT_IN0003","ACCT_IN0004","ACCT_IN0005","ACCT_IN0006","ACCT_IN0007","ACCT_IN0008","ACCT_IS0005","ACCT_IS0010","ACCT_IS0029","ACCT_IS0030","ACCT_LQ0013","ACCT_LQ0014","ACCT_LQ0015","ACCT_LQ0016","ACCT_LQ0017"
1,12/31/2023 0:00:00,2,WISe,500000,0,1592136,0,0,2698,0,0,0,0,0,-3134,0,13239,6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,263,2130,331,0,2724,0,0,3746,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416464,0,0,0,0,0,0,0
6,12/31/2023 0:00:00,7,WISe,703556,0,22138686,35180107,0,394546,0,0,67500,0,0,9684276,1136383,689423,247026,12234,3854,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119906,332,7199,236657,160821,175392,27845,7743,371801,112,0,225269,0,202326,25779,17670,31942,0,75391,7,651406,108721,289778,0,0,398499,2,374065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78926,0,0,78926,1,0,0,0,0,0,0,0,39936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648027,82183,0,1914662,78926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1895348,0,0,0,0,90,1726971,0,12361557,0,0,0,0,0,0,0
12,12/31/2023 0:00:00,11,WISe,15199055,0,15935898,6720651,30200,210200,0,0,0,0,0,3622621,0,225962,63640,0,0,0,0,0,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9806,1360,0,26970,51758,115678,34649,0,202085,104,30767,4590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98281,0,0,268387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2880887,0,0,0,0,0,0,0
13,12/31/2023 0:00:00,12,WISe,100000,0,77032009,369839,4471973,4471973,0,0,512067,0,0,9389110,0,609954,148403,43018,0,0,23262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55534,0,0,166952,81488,39913,24666,0,146067,28,359049,688217,0,226355,27313,48012,6164,0,81489,7,2270914,0,468239,142633,0,610872,4,2051679,21181,38557,0,0,59738,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232782,0,0,2160002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18964,534129617,0,0,0,0,2,26364,0,22735900,10890,0,51190696,0,57495813,0,57495813
16,12/31/2023 0:00:00,14,WISe,5095428,0,5211507,0,0,40342,0,0,0,0,0,46707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,944,0,944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323037,0,0,0,0,0,0,0
19,12/31/2023 0:00:00,16,WISe,0,0,567598,7575000,0,2857,0,0,0,0,0,31676,0,4302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217,0,0,1217,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234336,0,0,0,0,0,0,0
22,12/31/2023 0:00:00,17,WISe,19124200,0,41686432,14815306,6156300,6156300,0,0,0,0,0,2164496,0,11203,13364,0,0,0,0,0,4469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29915,0,0,67852,9187,0,0,0,9187,2,0,0,0,0,0,0,0,0,0,0,31499,0,211402,0,0,211402,1,104949,151611,144994,0,0,296605,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190713,0,0,162321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11506135,0,0,0,0,0,0,0
26,12/31/2023 0:00:00,19,WISe,12801000,0,13934113,0,0,111464,0,0,0,0,0,42218,0,8157,200,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20603,0,0,0,20603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,549800,0,0,0,0,0,0,0
28,12/31/2023 0:00:00,21,WISe,0,0,22651485,62086448,17021900,17027259,0,41800,487265,37211,0,43485017,25528527,2801670,795230,145854,81429,59837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142624,14946,0,0,0,0,0,0,0,0,0,899809,554740,908646,69869,4761,1538016,312,601528,3962493,0,613157,310733,268564,157357,12894,749548,42,6431610,2008445,266535,114729,0,2389709,18,2007053,166209,584765,48821,0,799795,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7604148,0,0,14900008,0,0,25000000,182312,0,0,65000000,1708166,0,0,0,0,0,0,0,0,0,0,16085,320667941,0,0,0,0,0,0,0,47907632,0,-1279455,70141572,12268938,62035236,0,74304174
42,12/31/2023 0:00:00,29,WISe,36434000,0,47799223,9000000,0,66000,0,0,0,0,0,877383,0,51456,39387,0,0,0,1750,0,0,0,5436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44823,0,0,60490,81732,75916,77928,1345,236921,50,15491,27805,0,0,9566,0,0,0,9566,2,0,0,6682,91011,0,97693,2,448122,0,25924,0,0,25924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179417,0,0,661784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18888,0,0,0,0,0,0,0,4857620,0,0,0,0,0,0,0
47,12/31/2023 0:00:00,30,WISe,23992000,0,29916648,250000,0,0,0,0,0,0,0,295123,0,10730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1953,0,0,35604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1182732,0,0,0,0,0,0,0
48,12/31/2023 0:00:00,31,WISe,14328000,0,19626080,14741000,0,155000,0,0,0,0,0,6708982,0,159426,27701,0,0,0,4809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2029,0,0,96022,31056,31038,0,0,62094,15,5728,20987,0,37404,0,0,0,0,0,0,0,0,61321,0,0,61321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59800,0,0,140205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1655581,0,0,0,0,0,0,0
51,12/31/2023 0:00:00,32,WISe,0,0,553694410,1375558838,6355802,6751964,1615000,164136,0,0,34446456,309440281,504787466,8319176,2744407,327889,40692,250111,2210,342125,43246,0,0,0,0,0,0,0,0,0,225943,0,0,0,0,0,432981,0,6479,0,0,0,0,1511150,0,123120,4211213,1131571,1497340,304380,0,2933291,595,1991156,632882,0,5917692,241565,922727,198216,0,1362508,43,41105529,6409743,3715259,1867926,3578245,15571173,120,3135445,764766,302040,248305,764905,2080016,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007578,0,0,0,5517526,5517526,1,198928,0,0,195191,0,195191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12805953,453940,0,20893447,5712717,0,0,0,0,0,0,0,0,0,0,0,109521935,274268,0,0,0,0,30304,683738283,0,0,0,0,1164,23748996,0,225862646,3693417,252034,643648510,35335470,678540937,296658280,1010534687
53,12/31/2023 0:00:00,33,WISe,10170000,0,13257784,5000000,0,80000,0,0,0,0,0,5841253,7339799,25413,15757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21736,0,0,30073,3625,4543,22548,0,30716,7,0,8127,0,0,0,0,0,0,0,0,61575,0,0,0,0,0,0,138243,143758,0,151778,0,295536,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177246,0,0,228031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2651433,0,0,0,0,0,0,0
60,12/31/2023 0:00:00,35,WISe,20540000,0,55317208,85082340,4004078,4183614,0,0,427100,0,0,14540736,21440052,98829,35686,12325,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,132423,0,0,0,0,0,23013,0,15148,75898,27917,102153,20833,1500,152403,50,0,436761,0,402884,45637,86390,17050,0,149077,15,499676,94378,137277,56631,28460,316746,4,507344,8091,34836,69983,0,112910,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650945,20084,0,1711388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2308,34969175,0,0,0,0,0,0,0,14056819,0,0,0,0,0,0,0
77,12/31/2023 0:00:00,41,WISe,0,0,21011369,36799067,628900,1404263,0,0,138113,3488,0,2174231,2537362,116851,25626,23497,3072,0,0,0,5098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38097,18096,0,0,0,18096,5,0,210338,0,7254,0,0,0,0,0,0,9437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19180,260254,0,0,286944,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255124,60403,0,12404,0,26690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4626727,0,0,0,0,0,0,0,6187533,-94764,0,0,0,0,0,0
79,12/31/2023 0:00:00,43,WISe,0,0,46982663,129125682,342000,342000,0,0,68225,0,0,25426588,39052391,1000938,179514,63377,10845,0,0,2393,27611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5390,0,0,538849,62209,80707,2174,0,564717,178915,141330,3446,2950,326641,63,219774,354365,0,222116,36606,83845,0,7249,127700,17,1646931,0,313831,0,0,313831,3,183679,11377,0,0,9571,20948,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183623,0,0,0,0,0,0,0,0,0,0,0,0,61500,270000,0,0,0,270000,1,1153918,0,119980,1315674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8149,231581913,0,0,0,0,2666,10124613,0,25527042,0,0,75192382,0,34893452,0,34893452
82,12/31/2023 0:00:00,46,WISe,3675000,0,34648105,10611656,1367600,1367600,310155,0,362404,0,0,10689902,2395340,103142,8776,0,0,0,0,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26249,0,5978,55705,41962,37550,54943,0,134455,26,30983,913858,0,0,0,0,0,0,0,0,934401,0,0,0,719239,719239,4,514899,132976,0,54202,188576,375754,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152006,6940,0,3199739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5362,81458945,0,0,0,0,0,0,0,12258888,0,-195767,0,0,0,0,0
90,12/31/2023 0:00:00,49,WISe,3592000,0,4512282,0,58944,119216,0,0,3000,0,0,24840,0,21975,3329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11157,525,10888,0,0,11413,3,0,51124,0,9017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51649,0,0,82802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289461,0,0,0,0,0,0,0
98,12/31/2023 0:00:00,54,WISe,0,0,748468,6640000,0,15800,0,0,0,0,0,39070,0,0,9461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18645,3617,775,0,0,4392,0,11947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280742,0,0,0,0,0,0,0
107,12/31/2023 0:00:00,57,WISe,36118000,0,40319846,5361079,0,239307,0,0,0,0,0,2973691,0,66363,30929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8979,0,0,18708,2651,24130,4860,0,31641,12,0,65272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76902,24257,0,226770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2632361,0,0,0,0,81,1287014,0,2187761,0,0,0,0,0,0,0
108,12/31/2023 0:00:00,58,WISe,22850000,0,24468975,1400000,0,278538,0,0,0,0,0,404824,0,14830,1128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,37482,0,14905,11305,0,0,0,11305,0,53084,0,0,0,14564,14564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154288,0,0,0,0,0,0,0
110,12/31/2023 0:00:00,59,WISe,3726000,0,8703370,0,0,0,0,0,0,0,0,22978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457133,0,0,0,0,0,0,0
119,12/31/2023 0:00:00,62,WISe,0,0,4063479,77664975,193200,284340,0,0,0,0,0,3793466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6029,0,0,26116,10260,24586,39617,0,74463,16,0,0,0,0,0,0,0,0,0,0,631411,0,0,0,70092,70092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16289,73441,0,70092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,261746,0,0,0,0,0,0,59961,463498,0,0,0,0,0,0,0
120,12/31/2023 0:00:00,63,WISe,0,0,11774019,59065872,329652,434291,0,0,0,0,0,1036202,0,163597,40533,0,0,0,0,0,0,125763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71565,28751,88060,1418,0,118229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113836,0,32898,75984,0,108882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28751,200480,0,89479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3873522,0,0,0,0,0,0,0
132,12/31/2023 0:00:00,69,WISe,750098,0,863569,0,0,3333,0,0,0,0,0,2214,0,13882,15794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7077,5119,22120,34316,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-234,41415,0,0,0,0,0,0,0
135,12/31/2023 0:00:00,70,WISe,20613000,0,25564745,1490665,105500,419044,0,0,0,0,0,495502,0,49561,41265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,0,0,8360,295,1774,0,0,2069,2,0,68184,0,114875,49644,50005,59082,826,159557,9,0,0,0,0,0,0,0,123773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119199,15319,0,420149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,8137536,0,0,135,2464794,0,0,0,2936958,0,0,0,0,0,0,0
138,12/31/2023 0:00:00,72,WISe,0,0,597204,11780266,0,72987,0,0,10792,0,0,234323,0,12396,1888,0,3620,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2941,0,0,6277,5237,562,0,0,5799,2,0,102970,0,0,0,0,0,0,0,0,71622,0,16124,0,0,16124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111148,0,0,8191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,18399235,27,2841000,0,0,0,0,0,1431778,0,0,0,0,0,0,0
