"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_AS0007","ACCT_AS0008","ACCT_AS0009","ACCT_AS0013","ACCT_AS0016","ACCT_AS0017","ACCT_AS0022","ACCT_AS0023","ACCT_AS0024","ACCT_AS0025","ACCT_AS0032","ACCT_AS0036","ACCT_CM0099","ACCT_CH0007","ACCT_CH0008","ACCT_CH0015","ACCT_CH0016","ACCT_CH0017","ACCT_CH0018","ACCT_CH0019","ACCT_CH0020","ACCT_CH0021","ACCT_CH0022","ACCT_CH0023","ACCT_CH0024","ACCT_CH0025","ACCT_CH0026","ACCT_CH0027","ACCT_CH0028","ACCT_CH0029","ACCT_CH0030","ACCT_CH0031","ACCT_CH0032","ACCT_CH0033","ACCT_CH0034","ACCT_CH0035","ACCT_CH0036","ACCT_CH0037","ACCT_CH0038","ACCT_CH0039","ACCT_CH0040","ACCT_CH0047","ACCT_CH0048","ACCT_DL0002","ACCT_DL0009","ACCT_DL0016","ACCT_DL0022","ACCT_DL0023","ACCT_DL0024","ACCT_DL0025","ACCT_DL0026","ACCT_DL0027","ACCT_DL0028","ACCT_DL0030","ACCT_DL0037","ACCT_DL0044","ACCT_DL0050","ACCT_DL0051","ACCT_DL0052","ACCT_DL0053","ACCT_DL0054","ACCT_DL0055","ACCT_DL0056","ACCT_DL0057","ACCT_DL0058","ACCT_DL0059","ACCT_DL0060","ACCT_DL0061","ACCT_DL0062","ACCT_DL0063","ACCT_DL0064","ACCT_DL0065","ACCT_DL0066","ACCT_DL0067","ACCT_DL0068","ACCT_DL0069","ACCT_DL0070","ACCT_DL0071","ACCT_DL0072","ACCT_DL0073","ACCT_DL0074","ACCT_DL0075","ACCT_DL0076","ACCT_DL0077","ACCT_DL0078","ACCT_DL0079","ACCT_DL0080","ACCT_DL0081","ACCT_DL0082","ACCT_DL0083","ACCT_DL0084","ACCT_DL0085","ACCT_DL0086","ACCT_DL0087","ACCT_DL0088","ACCT_DL0089","ACCT_DL0090","ACCT_DL0091","ACCT_DL0092","ACCT_DL0093","ACCT_DL0094","ACCT_DL0095","ACCT_DL0096","ACCT_DL0097","ACCT_DL0098","ACCT_DL0099","ACCT_DL0100","ACCT_DL0101","ACCT_DL0102","ACCT_DL0103","ACCT_DL0104","ACCT_DL0105","ACCT_DL0106","ACCT_DL0107","ACCT_DL0108","ACCT_DL0109","ACCT_DL0110","ACCT_DL0111","ACCT_DL0112","ACCT_DL0113","ACCT_DL0114","ACCT_DL0115","ACCT_DL0116","ACCT_DL0117","ACCT_DL0118","ACCT_DL0119","ACCT_DL0120","ACCT_DL0122","ACCT_DL0123","ACCT_DL0124","ACCT_DL0125","ACCT_DL0126","ACCT_DL0127","ACCT_DL0128","ACCT_DL0129","ACCT_DL0130","ACCT_DL0131","ACCT_DL0132","ACCT_DL0133","ACCT_DL0134","ACCT_DL0135","ACCT_DL0136","ACCT_DL0137","ACCT_DL0138","ACCT_DL0139","ACCT_DL0140","ACCT_DL0141","ACCT_DL0142","ACCT_DL0144","ACCT_DL0145","ACCT_DL0146","ACCT_DL0147","ACCT_DT0001","ACCT_DT0002","ACCT_DT0003","ACCT_DT0004","ACCT_DT0005","ACCT_DT0006","ACCT_DT0007","ACCT_DT0008","ACCT_DT0009","ACCT_DT0010","ACCT_DT0011","ACCT_DT0012","ACCT_DT0013","ACCT_DT0014","ACCT_DT0015","ACCT_DT0016","ACCT_IN0001","ACCT_IN0002","ACCT_IN0003","ACCT_IN0004","ACCT_IN0005","ACCT_IN0006","ACCT_IN0007","ACCT_IN0008","ACCT_IS0005","ACCT_IS0010","ACCT_IS0029","ACCT_IS0030","ACCT_LQ0013","ACCT_LQ0014","ACCT_LQ0015","ACCT_LQ0016","ACCT_LQ0017"
7532,12/31/2023 0:00:00,3463,WISe,5967000,0,12342722,10779221,31800,31823,0,0,15000,0,0,140359,0,22580,2128,95,1553,19890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6831,0,0,0,0,0,0,0,20126,0,0,0,0,0,0,0,0,65928,228942,124233,0,0,353175,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249068,0,0,124233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,852694,0,0,0,0,0,0,0,1386538,-1650,0,0,0,0,0,0
7534,12/31/2023 0:00:00,3464,WISe,5535000,0,6110632,0,0,102445,0,0,0,0,0,134079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439731,0,0,0,0,0,0,0
7544,12/31/2023 0:00:00,3468,WISe,0,17542,323269175,2934869673,10565048,10565048,0,340798,1259896,651183,25003,103419519,8499216,7554934,2163538,2182400,261155,28791,3563,118785,232868,12623,6841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,379404,43111,0,4000,0,0,1004286,145327,0,1716304,932442,51871,0,0,984313,422,599457,5120814,0,3616468,1277250,1255148,285205,4990,2822593,219,17431015,3449181,3200854,554064,200575,7404674,64,1930736,1198491,1175211,66488,28659,2468849,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13727248,0,0,14168695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40848,775951413,0,0,18,87210604,94107,302657061,0,266085051,0,-10859,2352968970,91641842,332735579,21546311,445923732
7546,12/31/2023 0:00:00,3469,WISe,0,0,512677,10846000,0,98285,0,0,0,0,0,200970,0,21637,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10777,0,0,17528,11283,0,0,0,11283,0,0,11154,0,17200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1055533,0,0,0,0,0,0,0,617666,0,0,0,0,0,0,0
7552,12/31/2023 0:00:00,3474,WISe,17397000,0,38887250,31529415,539799,828739,0,0,0,0,0,14152206,0,503890,58106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42810,0,0,253878,96748,146807,28204,445,272204,0,69119,212732,0,32008,14363,25421,2636,0,42420,0,301972,151685,274131,0,0,425816,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587457,0,0,988701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,3937163,0,0,0,0,0,0,0,7549537,0,0,0,0,0,0,0
7557,12/31/2023 0:00:00,3477,WISe,16712000,0,21655986,9163759,329400,350900,0,0,0,0,0,2652468,0,109838,14084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,705,0,39392,0,25063,0,0,25063,2,0,71788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72979,0,0,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,3580185,26,11004112,0,0,0,0,0,2763883,0,0,0,0,0,0,0
7573,12/31/2023 0:00:00,3490,WISe,0,0,25422075,17090811,2757300,3266356,0,0,0,0,0,11861508,4275342,615573,130447,3570,2600,0,0,170884,3727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220024,0,0,0,0,0,0,0,47040,0,0,241321,132160,153467,0,0,285627,38,0,45439,0,0,0,0,0,0,0,0,388352,0,152147,0,0,152147,1,3707662,227289,227925,179843,0,635057,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21953,71584,0,0,148565,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528909,149297,0,290504,0,76981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,2760288,0,0,0,0,359,5199034,0,16833667,0,0,144903275,0,0,0,0
7576,12/31/2023 0:00:00,3492,WISe,7955000,0,14621777,4420000,68315,314372,0,0,0,0,0,351261,0,73855,12884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21258,0,0,98281,39740,33596,1770,0,75106,21,47021,395877,0,0,0,0,0,0,0,0,561622,0,0,0,0,0,0,127806,0,103831,0,0,103831,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503896,7869,0,125716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,1170325,1,264000,0,0,0,0,0,1438780,0,0,0,0,0,0,0
7590,12/31/2023 0:00:00,3499,WISe,745000,17504,82166012,45709149,5117249,5717749,0,0,0,0,0,14148970,0,141132,34015,42699,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11572,0,0,106012,36483,9156,0,0,45639,20,721982,1621610,0,36110,34598,5259,30029,0,69886,5,2033861,16962,0,0,0,16962,1,277094,0,43610,0,23863,67473,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2492159,6636,0,4401276,0,48952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12730,306919446,0,0,0,0,0,0,0,28066114,-35737,0,49392162,203645,0,110590,314235
7599,12/31/2023 0:00:00,3506,WISe,6097000,0,6807852,0,0,10000,0,0,0,0,0,16244,0,0,9572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581173,0,0,0,0,0,0,0
