"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_LQ0018","ACCT_LQ0019","ACCT_LQ0020","ACCT_LQ0021","ACCT_LQ0022","ACCT_LQ0023","ACCT_LQ0024","ACCT_LQ0025","ACCT_LQ0026","ACCT_LQ0027","ACCT_LQ0028","ACCT_LQ0029","ACCT_LQ0030","ACCT_LQ0034","ACCT_LQ0035","ACCT_LQ0038","ACCT_LQ0039","ACCT_LQ0040","ACCT_LQ0042","ACCT_LQ0043","ACCT_LQ0044","ACCT_LQ0045","ACCT_LQ0046","ACCT_LQ0047","ACCT_LQ0052","ACCT_LQ0053","ACCT_LQ0056","ACCT_LQ0059","ACCT_LQ0860","ACCT_NV0001","ACCT_NV0002","ACCT_NV0003","ACCT_NV0004","ACCT_NV0013","ACCT_NV0014","ACCT_NV0015","ACCT_NV0016","ACCT_NV0017","ACCT_NV0018","ACCT_NV0019","ACCT_NV0020","ACCT_NV0021","ACCT_NV0022","ACCT_NV0023","ACCT_NV0024","ACCT_NV0025","ACCT_NV0026","ACCT_NV0027","ACCT_NV0028","ACCT_NV0029","ACCT_NV0030","ACCT_NV0031","ACCT_NV0032","ACCT_NV0033","ACCT_NV0034","ACCT_NV0035","ACCT_NV0036","ACCT_NV0037","ACCT_NV0038","ACCT_NV0039","ACCT_NV0040","ACCT_NV0041","ACCT_NV0042","ACCT_NV0043","ACCT_NV0044","ACCT_NV0045","ACCT_NV0046","ACCT_NV0047","ACCT_NV0048","ACCT_NV0049","ACCT_NV0050","ACCT_NV0051","ACCT_NV0052","ACCT_NV0053","ACCT_NV0054","ACCT_NV0055","ACCT_NV0056","ACCT_NV0057","ACCT_NV0058","ACCT_NV0059","ACCT_NV0060","ACCT_NV0061","ACCT_NV0062","ACCT_NV0063","ACCT_NV0064","ACCT_NV0065","ACCT_NV0066","ACCT_NV0067","ACCT_NV0068","ACCT_NV0069","ACCT_NV0070","ACCT_NV0071","ACCT_NV0072","ACCT_NV0073","ACCT_NV0074","ACCT_NV0075","ACCT_NV0076","ACCT_NV0077","ACCT_NV0078","ACCT_NV0079","ACCT_NV0080","ACCT_NV0081","ACCT_NV0083","ACCT_NV0084","ACCT_NV0087","ACCT_NV0088","ACCT_NV0089","ACCT_NV0090","ACCT_NV0091","ACCT_NV0092","ACCT_NV0093","ACCT_NV0094","ACCT_NV0095","ACCT_NV0096","ACCT_NV0097","ACCT_NV0098","ACCT_NV0099","ACCT_NV0100","ACCT_NV0101","ACCT_NV0102","ACCT_NV0103","ACCT_NV0104","ACCT_NV0105","ACCT_NV0106","ACCT_NV0107","ACCT_NV0108","ACCT_NV0109","ACCT_NV0110","ACCT_NV0111","ACCT_NV0112","ACCT_NV0113","ACCT_NV0114","ACCT_NV0115","ACCT_NV0116","ACCT_NV0122","ACCT_NV0128","ACCT_NV0134","ACCT_NV0140","ACCT_NV0141","ACCT_NV0142","ACCT_NV0143","ACCT_NV0144","ACCT_NV0145","ACCT_NV0146","ACCT_NV0153","ACCT_NV0154","ACCT_NV0155","ACCT_NV0156","ACCT_NV0157","ACCT_NV0158","ACCT_NV0159","ACCT_NV0160","ACCT_NV0161","ACCT_NV0162","ACCT_NV0169","ACCT_NV0170","ACCT_NV0172","ACCT_NV0173","ACCT_SL0036","ACCT_SL0037","ACCT_SL0038","ACCT_SL0039","ACCT_SL0041","ACCT_SL0043","ACCT_SL0045","ACCT_SL0047","ACCT_SL0049","ACCT_SL0051","ACCT_SL0053","ACCT_SL0055","ACCT_SL0056","ACCT_SL0057","ACCT_SL0058","ACCT_SL0059","ACCT_RB0001","ACCT_RB0002","ACCT_RB0003","ACCT_RB0004","ACCT_RB0005","ACCT_RB0006","ACCT_RB0007","ACCT_RB0008","ACCT_RB0009","ACCT_RB0010","ACCT_RB0011","ACCT_RB0012","ACCT_RB0013","ACCT_RB0014","ACCT_RB0015","ACCT_RB0016","ACCT_RB0017","ACCT_RB0018","ACCT_RB0019","ACCT_RB0020","ACCT_RB0021","ACCT_RB0022","ACCT_RB0023","ACCT_RB0024","ACCT_RB0025"
47,12/31/2023 0:00:00,30,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3077000,15256000,5659000,0,0,23992000,0,0,0,250000,0,0,0,0,0,0,3077000,15256000,5909000,0,0,24242000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6458404,109360,0,0,109360,0,0,0,478676,6089088,0,6089088,0,0,0,0,0,0,0,0,0,0,0,0,0
48,12/31/2023 0:00:00,31,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12750000,12409409,0,0,0,0,0,0,12750000,12409409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991000,1630787,0,0,0,0,0,0,14741000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7665000,6164000,499000,0,0,14328000,0,0,0,14741000,0,0,0,0,155000,155000,13163000,11907000,3999000,0,155000,29224000,0,0,0,0,0,0,0,0,25987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13345349,272761,0,0,272761,0,0,0,514003,13104107,0,13104107,0,0,0,0,0,0,0,0,0,0,0,0,0
51,12/31/2023 0:00:00,32,WISe,0,0,0,19314553,0,0,0,0,0,0,0,0,0,0,12013829,0,0,1599684358,0,2040116,0,0,1000000000,1096440395,0,0,0,0,1002040116,154217216,151273900,70256679,68948900,33657132,33274040,0,0,279318820,262721552,1001008236,814944250,312975952,295995592,1001008236,814944250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10544589,10183682,0,0,0,0,0,0,1458495,1408778,0,0,12003084,11592460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4937179,4853050,0,0,0,0,467193168,1088205178,900338660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7132339,894671,0,8027010,8027010,0,0,0,0,0,0,8027010,0,900338660,467193168,0,6751964,0,0,0,6751964,328317723,124735548,200880193,645111842,83265496,1382310802,0,-716483,0,-716483,0,43282773,0,0,4840145,0,3129,0,0,0,0,0,13893048,10000000,0,0,0,0,0,0,782950789,66801791,0,0,66801791,0,0,0,214962635,634789945,0,634789945,0,553694410,473460430,3499222,76734758,0,1375558838,606656268,756022510,0,4853050,8027010,0
53,12/31/2023 0:00:00,33,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,4904810,0,0,0,0,0,0,5000000,4904810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7690000,2480000,0,0,0,10170000,0,0,0,5000000,0,80000,0,0,0,80000,8690000,5560000,1000000,0,0,15250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,912621,0,0,0,0,0,0,0,5435692,276900,0,0,276900,0,0,0,589338,5123254,0,5123254,0,0,0,0,0,0,0,0,0,0,0,0,0
60,12/31/2023 0:00:00,35,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32150416,0,56676792,0,0,20622800,45500000,0,0,0,0,20622800,0,0,34064903,32947750,0,0,11500000,10790555,0,0,46377411,41344035,0,0,57877411,52134590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91942314,85082340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13827000,6216000,497000,0,0,20540000,0,0,85082341,0,0,3294000,0,0,889614,4183614,40310015,27410656,28032972,13162698,889614,109805955,0,0,0,0,0,0,0,0,0,0,0,0,2252265,4148780,0,0,3229617,0,0,0,0,0,0,0,50080421,2492550,0,0,2492550,0,0,0,3704463,48868508,0,48868508,0,0,0,0,0,0,0,0,0,0,0,0,0
77,12/31/2023 0:00:00,41,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15035657,0,15035657,0,0,0,0,0,0,0,0,0,0,0,3029065,2860070,0,0,1676550,1638490,0,0,32378312,29278836,0,0,34054862,30917326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543129,293971,0,0,0,0,0,0,0,0,0,0,543129,293971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3200556,2727700,0,0,0,0,0,0,0,0,0,40827612,36799067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36799067,0,1404263,0,0,0,0,1404263,2480129,4971366,23892338,6859497,0,38203330,0,0,0,0,0,0,0,0,4206611,0,0,0,0,0,0,0,0,0,0,0,225000,225000,0,0,16557875,740202,0,0,740202,0,0,0,1925822,15372255,0,15372255,0,0,0,0,0,0,0,0,0,0,0,0,0
79,12/31/2023 0:00:00,43,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262886433,0,0,0,0,8000000,8007831,0,0,0,0,8000000,0,0,16056751,14872500,0,0,46979193,42255258,0,0,61229855,54899486,0,0,108209048,97154744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18688383,16199001,0,0,980000,899437,0,0,0,0,0,143934182,129125682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129125682,0,0,342000,0,0,0,342000,15756950,28197019,37054332,44410152,4049229,129467682,0,-1883881,0,-1883881,1400556,10453844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84029989,3606472,0,0,3606472,0,0,0,6869302,80767159,0,80767159,0,0,0,0,0,0,0,0,0,0,0,0,0
82,12/31/2023 0:00:00,46,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13247436,0,13247436,0,0,0,1430413,0,12498558,0,0,0,0,0,0,0,0,0,10500000,10395172,0,0,241570,216484,0,0,10741570,10611656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10741570,10611656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450000,1225000,0,0,0,3675000,0,0,10611657,0,0,0,1367600,0,0,1367600,10612418,3674239,1367600,0,0,15654257,0,0,0,0,0,0,0,0,31719,0,574568,0,0,0,0,0,1080000,0,0,0,0,0,0,0,33767117,1468305,0,0,1468305,0,0,0,2440329,32795093,0,32795093,0,0,0,0,0,0,0,0,0,0,0,0,0
90,12/31/2023 0:00:00,49,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1946000,1399000,247000,0,0,3592000,0,0,0,0,58944,60272,0,0,0,119216,2004944,1459272,247000,0,0,3711216,0,0,-14970,-14970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5064629,81759,0,0,81759,0,0,0,46158,5100230,0,5100230,0,0,0,0,0,0,0,0,0,0,0,0,0
98,12/31/2023 0:00:00,54,WISe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6640000,6640000,0,0,6640000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6640000,0,0,0,0,15800,15800,4560000,2080000,0,0,15800,6655800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1898491,10640,0,0,10640,0,0,0,121389,1787742,0,1787742,0,0,0,0,0,0,0,0,0,0,0,0,0
