"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
9681,12/31/2023 0:00:00,4639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3029529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3046130,0,0,0,0,16601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,37,0,0,0,0,0,0,117
9715,12/31/2023 0:00:00,4658,0,0,0,0,0,0,1887438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182560,0,0,0,2069998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,192,0,0,0,0,0,0,119
9723,12/31/2023 0:00:00,4663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
9759,12/31/2023 0:00:00,4683,0,0,0,0,0,0,27279923,0,0,0,0,0,0,0,109954362,0,0,0,0,0,0,0,0,0,5965367,0,0,0,0,1040338,0,0,6839096,146334561,0,0,0,0,1220842,36,0,1,3,0,0,18,0,1,0,29,0,29,3,0,9,0,7,36,1114,2805,0,1,0,0,0,1,871
9776,12/31/2023 0:00:00,4689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2275998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,47
9777,12/31/2023 0:00:00,4690,0,0,0,0,0,0,153727,0,0,0,0,0,0,0,1785146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121491,0,0,0,2060448,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11,0,0,0,0,0,0,79
9778,12/31/2023 0:00:00,4691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
9788,12/31/2023 0:00:00,4696,0,0,0,0,0,0,25710964,0,0,0,0,0,0,0,138842089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30090912,0,0,0,228226180,0,0,0,0,33582215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2643,797,0,0,0,0,0,0,2384
9799,12/31/2023 0:00:00,4702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109399,1445918,0,0,0,0,24548,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,102,0,0,0,0,0,0,0,214
9805,12/31/2023 0:00:00,4705,0,0,0,0,0,0,25866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971173,997039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,0,0,4
9807,12/31/2023 0:00:00,4707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
9810,12/31/2023 0:00:00,4709,0,0,0,0,0,0,11435717,0,0,0,0,0,0,0,3271492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591843,0,0,0,15299052,0,0,0,0,0,4,22,0,0,0,0,0,21,3,0,4,22,26,0,0,1,1,0,26,93,451,0,0,0,0,0,0,105
9812,12/31/2023 0:00:00,4711,0,0,0,0,0,0,3173107,0,0,0,0,0,0,0,4609794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7782901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,101,0,0,0,0,0,0,153
9822,12/31/2023 0:00:00,4718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,679407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11,0,0,0,0,0,0,27
9823,12/31/2023 0:00:00,4719,0,0,0,0,0,0,423189,0,0,0,0,0,0,0,2400729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8743,0,0,718,2833379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,26,0,0,0,0,0,0,15
9843,12/31/2023 0:00:00,4729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31400,0,0,0,31400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,62
9871,12/31/2023 0:00:00,4745,0,0,0,0,0,0,1689751,0,0,0,0,0,0,0,1539016,0,0,0,0,0,0,0,0,0,269417,0,0,0,0,0,0,0,5517174,9130484,0,0,0,0,384543,76,3,0,0,0,0,10,0,3,0,46,0,46,30,1,33,0,33,79,1240,121,0,0,0,0,2,2,1471
9873,12/31/2023 0:00:00,4747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663976,0,0,0,0,243635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,15,0,0,0,0,0,0,161
9877,12/31/2023 0:00:00,4748,0,0,0,0,0,0,4754109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395000,0,0,0,0,106833,0,0,176789,5037731,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,1,0,1,11,0,0,0,12,13,63,57,0,0,0,0,0,0,84
9880,12/31/2023 0:00:00,4751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100503,0,0,0,0,100503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
9888,12/31/2023 0:00:00,4755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49496,49496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
9893,12/31/2023 0:00:00,4757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
9897,12/31/2023 0:00:00,4759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95578,0,0,0,958177,0,0,0,0,541994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,31
9907,12/31/2023 0:00:00,4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
9915,12/31/2023 0:00:00,4770,0,0,0,0,0,0,11304136,0,0,0,0,0,0,0,62841991,0,0,0,0,0,0,0,0,0,2020756,0,0,0,0,2000479,0,0,490255,78490257,0,0,0,0,1853396,57,60,1,12,0,0,14,6,14,4,29,11,40,15,49,0,1,77,117,566,784,12,0,0,0,0,0,1192
9919,12/31/2023 0:00:00,4773,0,0,0,0,0,0,1068865,0,0,0,0,0,0,0,1075946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47881,0,0,0,2249124,0,0,0,0,56432,6,0,0,0,0,0,1,0,2,0,3,0,3,3,0,0,0,3,6,260,0,0,0,0,0,0,0,376
9923,12/31/2023 0:00:00,4776,0,0,0,0,0,0,10849809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69901,0,0,0,0,0,0,0,5788234,22509478,0,0,0,0,5871435,14,0,1,2,0,0,7,0,1,0,8,0,8,3,0,0,0,6,14,476,593,0,0,0,0,0,0,596
9924,12/31/2023 0:00:00,4777,0,0,0,0,0,0,27707387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567723,0,0,0,29038732,0,0,0,0,763622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,361,0,0,0,0,0,0,74
9931,12/31/2023 0:00:00,4780,0,0,0,0,0,0,1714775,0,0,0,0,0,0,0,1723841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57361,0,0,0,4252905,0,0,0,0,756928,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,76,80,0,0,0,0,0,0,68
9943,12/31/2023 0:00:00,4785,0,0,0,0,0,0,3355581,0,0,0,0,0,0,0,3144932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420762,8986625,0,0,0,0,2065350,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3054,246,0,0,0,0,0,0,642
9951,12/31/2023 0:00:00,4789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59305,0,0,0,934497,0,0,0,0,875192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,69
9952,12/31/2023 0:00:00,4790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9971,12/31/2023 0:00:00,4802,0,0,0,0,0,0,6060212,0,0,0,0,0,0,0,591733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,804913,0,0,7447,11319607,0,0,0,0,3855302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,178,0,0,0,0,0,0,130
9974,12/31/2023 0:00:00,4805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
9976,12/31/2023 0:00:00,4806,0,0,0,0,0,0,68503557,0,0,0,0,0,0,0,219760775,0,0,0,0,0,0,0,0,0,5263033,0,0,0,0,3457984,0,0,101122,339956518,0,0,0,0,48133080,288,9,2,53,0,0,111,1,49,6,205,9,213,28,0,41,1,83,297,4392,2944,0,0,0,0,0,0,565
9986,12/31/2023 0:00:00,4810,0,0,0,0,0,0,45109853,0,0,0,0,0,0,0,31288484,0,0,0,0,0,0,0,0,0,3397625,0,0,0,0,9409896,0,0,0,122806434,0,0,0,0,36998201,38,17,0,0,0,0,10,2,11,12,35,17,52,3,0,12,2,3,55,1504,2782,0,1,0,0,0,1,4474
9988,12/31/2023 0:00:00,4811,0,0,0,0,0,0,15261758,0,0,0,0,0,0,0,220185929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6920048,0,0,13927914,313130073,0,0,0,0,56834424,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,3313,512,0,0,0,0,0,0,1237
9994,12/31/2023 0:00:00,4813,0,0,0,0,0,0,224255,0,0,0,0,0,0,0,180594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12976,0,0,0,1013334,0,0,0,0,595509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,58
10011,12/31/2023 0:00:00,4824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015,12/31/2023 0:00:00,4826,0,0,0,0,0,0,10231453,0,0,0,0,0,0,0,2738160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1735347,17171560,0,0,0,0,2466600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,389,0,0,0,0,0,0,0
10023,12/31/2023 0:00:00,4831,0,0,0,0,0,0,166109645,0,0,0,0,0,0,0,38266739,0,0,0,0,0,0,0,0,0,1351208,0,0,0,0,7152170,0,0,0,211528554,0,0,0,0,0,173,24,0,0,0,0,23,0,106,24,159,24,183,14,0,30,0,14,197,1823,2895,17,0,0,0,0,0,1661
10047,12/31/2023 0:00:00,4847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,39
10065,12/31/2023 0:00:00,4857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91129,0,0,0,813519,0,0,0,0,109578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,76
10083,12/31/2023 0:00:00,4866,0,0,0,0,0,0,958767,0,0,0,0,0,0,0,1863601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3918627,0,0,0,0,1096259,7,1,0,0,0,0,7,1,0,0,7,1,8,0,0,0,0,0,8,318,64,0,0,0,0,0,0,339
10099,12/31/2023 0:00:00,4873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,94
10100,12/31/2023 0:00:00,4874,0,0,0,0,0,0,20696308,0,0,0,0,0,0,0,39438795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666778,0,0,0,70364858,0,0,0,0,8562977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,1078,0,0,0,0,0,0,541
10141,12/31/2023 0:00:00,4894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,19
10158,12/31/2023 0:00:00,4906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,221
10164,12/31/2023 0:00:00,4909,0,0,0,0,0,0,2252539,0,0,0,0,0,0,0,10768651,0,0,0,0,0,0,0,0,0,794179,0,0,0,0,361236,0,0,269056,14862150,0,0,0,0,1210668,11,16,0,0,0,0,3,4,0,8,5,15,20,6,1,2,2,8,27,238,43,0,0,0,0,0,0,382
10170,12/31/2023 0:00:00,4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10255,1743111,0,0,0,0,1724380,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,105
10174,12/31/2023 0:00:00,4916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130955376,0,0,0,0,0,0,0,0,0,18097157,0,0,0,0,7457819,0,0,762032,176308092,0,0,0,0,37132865,572,0,2,16,0,0,99,0,149,0,440,0,436,114,0,166,0,122,572,2740,225,21,1,0,0,0,1,1378
10177,12/31/2023 0:00:00,4917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
10180,12/31/2023 0:00:00,4920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
10181,12/31/2023 0:00:00,4921,0,0,0,0,0,0,2013732,0,0,0,0,0,0,0,5432193,0,0,0,0,0,0,0,0,0,3720587,0,0,0,0,0,0,0,2257,7519904,0,0,0,0,71722,127,10,7,14,0,0,18,3,15,3,44,7,51,62,3,6,0,86,137,544,90,1,2,0,0,0,2,2270
10184,12/31/2023 0:00:00,4923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3439680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079807,4519487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,84,0,0,0,0,0,0,73
10220,12/31/2023 0:00:00,4944,0,0,0,0,0,0,532268,0,0,0,0,0,0,0,180569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8862,0,0,0,721699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0,4
10221,12/31/2023 0:00:00,4945,0,0,0,0,0,0,1019564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201185,0,0,0,2259323,0,0,0,0,1038574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,53,0,0,0,0,0,0,187
10223,12/31/2023 0:00:00,4946,0,0,0,0,0,0,36509233,0,0,0,0,0,0,0,21439292,0,0,0,0,0,0,0,0,0,7941666,0,0,0,0,4031302,0,0,2834787,66052806,0,0,0,0,1238192,483,23,20,76,0,0,105,23,56,0,176,23,200,211,0,4,0,307,506,1073,509,25,10,0,0,0,10,292
10225,12/31/2023 0:00:00,4947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10241,12/31/2023 0:00:00,4958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2717748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19994,0,0,0,2835112,0,0,0,0,97370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374
10243,12/31/2023 0:00:00,4959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1859334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,0,0,0,0,0,0,437
10253,12/31/2023 0:00:00,4965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10257,12/31/2023 0:00:00,4967,0,0,0,0,0,0,4609130,0,0,0,0,0,0,0,4670321,0,0,0,0,0,0,0,0,0,4209314,0,0,0,0,743125,0,0,467067,10613320,0,0,0,0,123677,235,10,0,0,0,0,27,1,17,8,155,10,161,29,0,90,0,84,245,87,204,0,13,51,0,0,64,527
10262,12/31/2023 0:00:00,4970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1370936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1477069,4413009,0,0,0,0,1565004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,490
10264,12/31/2023 0:00:00,4971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
10269,12/31/2023 0:00:00,4975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149100,0,0,0,0,149100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104
10274,12/31/2023 0:00:00,4977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85
10283,12/31/2023 0:00:00,4983,0,0,0,0,0,0,3929350,0,0,0,0,0,0,0,4016805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117171,0,0,0,9005170,0,0,0,0,941844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,164,124,0,0,0,0,0,233
10301,12/31/2023 0:00:00,4996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10308,12/31/2023 0:00:00,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10319,12/31/2023 0:00:00,5007,0,0,0,0,0,0,522738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46124,0,0,0,568862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,5
10323,12/31/2023 0:00:00,5010,0,0,0,0,0,0,161759,0,0,0,0,0,0,0,931149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155271,0,0,0,1248179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,661,0,0,0,0,0,0,98
10324,12/31/2023 0:00:00,5011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,36
10327,12/31/2023 0:00:00,5014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32249,0,0,0,0,32249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,38
10335,12/31/2023 0:00:00,5019,0,0,0,0,0,0,5532211,0,0,0,0,0,0,0,2016702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115199,0,0,0,11969172,0,0,0,0,1305060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,369
10351,12/31/2023 0:00:00,5032,0,0,0,0,0,0,1984529,0,0,0,0,0,0,0,7138859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110805,0,0,0,10888828,0,0,0,0,1654635,1,12,0,0,0,0,1,6,0,4,1,12,13,0,0,0,2,0,13,229,84,0,0,0,0,0,0,51
10353,12/31/2023 0:00:00,5033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309935,517256,0,0,0,0,207321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,9,0,0,0,0,0,0,218
10362,12/31/2023 0:00:00,5039,0,0,0,0,0,0,32319,0,0,0,0,0,0,0,535276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19519,0,0,0,588200,0,0,0,0,1086,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,7,1,0,0,0,0,0,0,62
10375,12/31/2023 0:00:00,5047,0,0,0,0,0,0,409792,0,0,0,0,0,0,0,4855079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2551585,0,0,0,8456275,0,0,0,0,639819,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,233,107,0,0,0,0,0,0,186
10381,12/31/2023 0:00:00,5051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
10393,12/31/2023 0:00:00,5058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14
10395,12/31/2023 0:00:00,5060,0,0,0,0,0,0,2041384,0,0,0,0,0,0,0,3878995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26193,0,0,0,6193348,0,0,0,0,246776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,138,0,0,0,0,0,0,176
10399,12/31/2023 0:00:00,5063,0,0,0,0,0,0,6811259,0,0,0,0,0,0,0,1752626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45924,0,0,0,8609809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,350,0,0,0,0,0,0,28
10424,12/31/2023 0:00:00,5075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152999,0,0,0,0,0,0,0,0,0,37609,0,0,0,0,94279,0,0,0,2987666,0,0,0,0,740388,5,0,0,1,0,0,0,0,1,0,2,0,2,2,0,1,0,3,5,155,36,0,0,0,0,0,0,58
