"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
79,12/31/2023 0:00:00,43,0,0,0,0,0,0,35101406,0,0,0,0,0,0,0,38806335,0,0,0,0,0,0,0,0,0,7572006,0,0,0,0,77549,0,0,8745025,102513828,0,0,0,0,19783513,256,0,26,101,0,0,66,0,24,0,104,0,104,25,0,11,0,152,256,1094,984,6,0,0,0,0,0,1256
82,12/31/2023 0:00:00,46,0,0,0,0,0,0,41512966,0,0,0,0,0,0,0,11850772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9842930,0,0,6005461,69821905,0,0,0,0,609776,23,3,0,0,0,0,3,0,15,3,23,3,26,0,0,5,0,0,26,713,631,0,0,0,0,0,0,62
90,12/31/2023 0:00:00,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
98,12/31/2023 0:00:00,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,10
107,12/31/2023 0:00:00,57,0,0,0,0,0,0,354276,0,0,0,0,0,0,0,4184167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160697,0,0,0,5303140,0,0,0,0,604000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,130,0,0,0,0,0,0,31
108,12/31/2023 0:00:00,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29562,191958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,174
110,12/31/2023 0:00:00,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,14,0,0,14,0,0,14,61,1,0,0,0,0,0,0,18
119,12/31/2023 0:00:00,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0
120,12/31/2023 0:00:00,63,0,0,0,0,0,0,7451128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8520614,0,0,0,0,1069486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,342,0,0,0,0,0,0,8
132,12/31/2023 0:00:00,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
